"","_id","operator_registration_number","postal_code","ward_number","ward_name"
"5666",1733643,"STR-2208-FMJBHC","M5V","10","Spadina-Fort York"
"5667",1733644,"STR-2208-GLCBHG","M6K","04","Parkdale-High Park"
"5668",1733645,"STR-2208-GTJBHH","M1S","23","Scarborough North"
"5669",1733646,"STR-2208-HBQBHJ","M4L","19","Beaches-East York"
"5670",1733647,"STR-2208-HJWBHK","M4X","13","Toronto Centre"
"5671",1733648,"STR-2208-HSCBHL","M5V","10","Spadina-Fort York"
"5672",1733649,"STR-2208-HZJBHM","M2K","17","Don Valley North"
"5673",1733650,"STR-2208-FFSPHB","M2N","18","Willowdale"
"5674",1733651,"STR-2208-FMYPHC","M1W","22","Scarborough-Agincourt"
"5675",1733652,"STR-2208-FWFPHD","M6J","09","Davenport"
"5676",1733653,"STR-2208-GLSPHG","M5J","10","Spadina-Fort York"
"5677",1733654,"STR-2208-HCFPHJ","M8Y","03","Etobicoke-Lakeshore"
"5678",1733655,"STR-2208-HKLPHK","M8V","03","Etobicoke-Lakeshore"
"5679",1733656,"STR-2208-HZYPHM","M9M","07","Humber River-Black Creek"
"5680",1733657,"STR-2208-FGJBHB","M4L","14","Toronto-Danforth"
"5681",1733658,"STR-2208-FWWBHD","M5J","10","Spadina-Fort York"
"5682",1733659,"STR-2208-GFCBHF","M6E","09","Davenport"
"5683",1733660,"STR-2208-GMJBHG","M5V","10","Spadina-Fort York"
"5684",1733661,"STR-2208-HCWBHJ","M6H","09","Davenport"
"5685",1733662,"STR-2209-HLCBHK","M9C","02","Etobicoke Centre"
"5686",1733663,"STR-2209-HTJBHL","M1W","22","Scarborough-Agincourt"
"5687",1733664,"STR-2209-JBQBHM","M6K","10","Spadina-Fort York"
"5688",1733665,"STR-2209-FGYPHB","M5V","10","Spadina-Fort York"
"5689",1733666,"STR-2209-FQFPHC","M4J","14","Toronto-Danforth"
"5690",1733667,"STR-2209-FXLPHD","M9B","2.0","Etobicoke Centre"
"5691",1733668,"STR-2209-GFSPHF","M9W","01","Etobicoke North"
"5692",1733669,"STR-2209-GMYPHG","M6K","04","Parkdale-High Park"
"5693",1733670,"STR-2209-GWFPHH","M5V","10","Spadina-Fort York"
"5694",1733671,"STR-2209-HLSPHK","M5B","13","Toronto Centre"
"5695",1733672,"STR-2209-FHQBHB","M5V","10","Spadina-Fort York"
"5696",1733673,"STR-2209-FYCBHD","M6N","05","York South-Weston"
"5697",1733674,"STR-2209-GGJBHF","M9W","01","Etobicoke North"
"5698",1733675,"STR-2209-GPQBHG","M6K","04","Parkdale-High Park"
"5699",1733676,"STR-2209-GWWBHH","M5A","13","Toronto Centre"
