"","postal_code","ward_name"
"102","M9W","Etobicoke North"
"103","M1N","Scarborough Southwest"
"104","M6P","Davenport"
"105","M1E","Scarborough-Guildwood"
"106","M2K","Don Valley North"
"107","M6J","Davenport"
"108","M6J","Spadina-Fort York"
"109","M1L","Scarborough Southwest"
"110","M6N","Davenport"
"111","M6R","Parkdale-High Park"
"112","M4A","Don Valley East"
"113","M6P","Parkdale-High Park"
"114","M1E","Scarborough-Rouge Park"
"115","M5A","Toronto Centre"
"116","M6C","St.Paul's"
"117","M6J","Spadina-Fort York"
"118","M9P","Etobicoke Centre"
"119","M2K","Don Valley North"
"120","M9W","Etobicoke North"
"121","M4M","Toronto-Danforth"
"122","M8V","Etobicoke-Lakeshore"
"123","M4Y","Toronto Centre"
"124","M4A","Don Valley East"
"125","M6J","Spadina-Fort York"
"126","M6R","Parkdale-High Park"
"127","M6G","University-Rosedale"
"128","M5V","Spadina-Fort York"
"129","M6J","Spadina-Fort York"
"130","M4X","Toronto Centre"
"131","M6S","Parkdale-High Park"
"132","M8Z","Etobicoke-Lakeshore"
"133","M3B","Don Valley East"
"134","M4M","Toronto-Danforth"
"135","M4C","Beaches-East York"
"136","M1S","Scarborough-Agincourt"
"137","M1W","Scarborough-Agincourt"
"138","M4M","Toronto-Danforth"
"139","M6J","Spadina-Fort York"
"140","M5J","Spadina-Fort York"
"141","M5A","Spadina-Fort York"
"142","M5A","Toronto Centre"
"143","M2K","Don Valley North"
"144","M6S","Parkdale-High Park"
"145","M6E","Davenport"
"146","M5R","University-Rosedale"
"147","M5J","Spadina-Fort York"
"148","M5V","Spadina-Fort York"
"149","M2J","Don Valley North"
"150","M2H","Don Valley North"
"151","M4M","Toronto-Danforth"
"152","M8Z","Etobicoke-Lakeshore"
"153","M1J","Scarborough Centre"
"154","M1T","Scarborough-Agincourt"
"155","M6K","Spadina-Fort York"
"156","M9W","Etobicoke North"
"157","M6N","York South-Weston"
"158","M1E","Scarborough-Rouge Park"
"159","M1J","Scarborough-Guildwood"
"160","M5R","University-Rosedale"
"161","M6H","Davenport"
"162","M2J","Don Valley North"
"163","M3M","York Centre"
"164","M1W","Scarborough-Agincourt"
"165","M4G","Don Valley West"
"166","M1R","Scarborough Centre"
"167","M5A","Toronto Centre"
"168","M4W","University-Rosedale"
"169","M5R","University-Rosedale"
"170","M4W","University-Rosedale"
"171","M4A","Don Valley East"
"172","M6S","Parkdale-High Park"
"173","M1E","Scarborough-Guildwood"
"174","M8W","Etobicoke-Lakeshore"
"175","M1S","Scarborough-Agincourt"
"176","M6P","Parkdale-High Park"
"177","M4L","Toronto-Danforth"
"178","M4C","Beaches-East York"
"179","M5H","Spadina-Fort York"
"180","M6J","University-Rosedale"
"181","M4K","Toronto-Danforth"
"182","M2N","Willowdale"
"183","M4K","Toronto-Danforth"
"184","M3J","Humber River-Black Creek"
"185","M4K","Toronto-Danforth"
"186","M3L","York Centre"
"187","M5T","University-Rosedale"
"188","M4Y","Toronto Centre"
"189","M4L","Beaches-East York"
"190","M6R","Parkdale-High Park"
"191","M3H","York Centre"
"192","M5J","Spadina-Fort York"
"193","M5B","Toronto Centre"
"194","M1R","Scarborough Centre"
"195","M4S","St.Paul's"
"196","M6J","Spadina-Fort York"
"197","M6J","University-Rosedale"
"198","M1N","Scarborough Southwest"
"199","M6C","St.Paul's"
"200","M5J","Spadina-Fort York"
"201","M8V","Etobicoke-Lakeshore"
"202","M2J","Don Valley North"
"203","M6J","Davenport"
"204","M6K","Davenport"
"205","M1N","Scarborough Southwest"
"206","M2J","Don Valley North"
"207","M6R","Parkdale-High Park"
"208","M1S","Scarborough North"
"209","M6P","Parkdale-High Park"
"210","M6J","Spadina-Fort York"
"211","M4H","Don Valley West"
"212","M1B","Scarborough North"
"213","M6R","Parkdale-High Park"
"214","M1M","Scarborough Southwest"
"215","M9B","Etobicoke-Lakeshore"
"216","M6G","University-Rosedale"
"217","M5M","Eglinton-Lawrence"
"218","M4C","Beaches-East York"
"219","M3N","Humber River-Black Creek"
"220","M9C","Etobicoke Centre"
"221","M4K","Toronto-Danforth"
"222","M5V","Spadina-Fort York"
"223","M5V","Spadina-Fort York"
"224","M6K","Davenport"
"225","M6J","Davenport"
"226","M6E","Davenport"
"227","M6P","Davenport"
"228","M1G","Scarborough-Guildwood"
"229","M5B","Toronto Centre"
"230","M1W","Scarborough-Agincourt"
"231","M6S","Parkdale-High Park"
"232","M5A","Toronto Centre"
"233","M1M","Scarborough Southwest"
"234","M6H","Davenport"
"235","M5V","Spadina-Fort York"
"236","M5S","Toronto Centre"
"237","M4C","Beaches-East York"
"238","M6N","York South-Weston"
"239","M4L","Beaches-East York"
"240","M6N","York South-Weston"
"241","M1N","Scarborough Southwest"
"242","M6H","Davenport"
"243","M4X","Toronto Centre"
"244","M4J","Toronto-Danforth"
"245","M5A","Toronto Centre"
"246","M3A","Don Valley East"
"247","M6J","Spadina-Fort York"
