"","postal_code","ward_name"
"1542","M5H","Spadina-Fort York"
"1543","M2J","Don Valley North"
"1544","M5M","Eglinton-Lawrence"
"1545","M5T","Spadina-Fort York"
"1546","M5J","Spadina-Fort York"
"1547","M6P","Parkdale-High Park"
"1548","M5T","Spadina-Fort York"
"1549","M2N","Willowdale"
"1550","M3A","Don Valley East"
"1551","M4H","Don Valley West"
"1552","M5B","Toronto Centre"
"1553","M2N","Willowdale"
"1554","M4B","Beaches-East York"
"1555","M6K","Parkdale-High Park"
"1556","M5V","Spadina-Fort York"
"1557","M6G","University-Rosedale"
"1558","M5S","University-Rosedale"
"1559","M6K","Spadina-Fort York"
"1560","M6S","Parkdale-High Park"
"1561","M1E","Scarborough-Guildwood"
"1562","M6K","Parkdale-High Park"
"1563","M6P","Parkdale-High Park"
"1564","M5J","Spadina-Fort York"
"1565","M4S","St.Paul's"
"1566","M8Y","Etobicoke-Lakeshore"
"1567","M6K","Parkdale-High Park"
"1568","M4R","Eglinton-Lawrence"
"1569","M8Y","Etobicoke-Lakeshore"
"1570","M6K","Spadina-Fort York"
"1571","M5J","Spadina-Fort York"
"1572","M4K","Toronto-Danforth"
"1573","M6C","Davenport"
"1574","M5V","Spadina-Fort York"
"1575","M6N","Davenport"
"1576","M6J","Davenport"
"1577","M9C","Etobicoke Centre"
"1578","M4S","St.Paul's"
"1579","M5V","Spadina-Fort York"
"1580","M5V","Spadina-Fort York"
"1581","M5C","Toronto Centre"
"1582","M5J","Spadina-Fort York"
"1583","M6K","Parkdale-High Park"
"1584","M3K","York Centre"
"1585","M5S","Toronto Centre"
"1586","M8Y","Etobicoke-Lakeshore"
"1587","M4L","Beaches-East York"
"1588","M5V","Spadina-Fort York"
"1589","M6S","Parkdale-High Park"
"1590","M6M","York South-Weston"
"1591","M6K","Spadina-Fort York"
"1592","M6C","St.Paul's"
"1593","M4C","Beaches-East York"
"1594","M1K","Scarborough Centre"
"1595","M5V","Spadina-Fort York"
"1596","M5V","Spadina-Fort York"
"1597","M6N","York South-Weston"
"1598","M4K","Toronto-Danforth"
"1599","M4S","St.Paul's"
"1600","M9M","Humber River-Black Creek"
"1601","M4M","Toronto-Danforth"
"1602","M2M","Willowdale"
"1603","M6J","Spadina-Fort York"
"1604","M8Y","Etobicoke-Lakeshore"
"1605","M6H","Davenport"
"1606","M4S","Don Valley West"
"1607","M4J","Toronto-Danforth"
"1608","M1T","Scarborough-Agincourt"
"1609","M5A","Toronto Centre"
"1610","M6N","Davenport"
"1611","M5V","Spadina-Fort York"
"1612","M3H","York Centre"
"1613","M1N","Scarborough Southwest"
"1614","M5V","Spadina-Fort York"
"1615","M5V","Spadina-Fort York"
"1616","M6M","York South-Weston"
"1617","M4J","Toronto-Danforth"
"1618","M3A","Don Valley East"
"1619","M4E","Beaches-East York"
"1620","M5V","Spadina-Fort York"
"1621","M5V","Spadina-Fort York"
"1622","M2N","Willowdale"
"1623","M8Y","Etobicoke-Lakeshore"
"1624","M6N","Davenport"
"1625","M6P","Parkdale-High Park"
"1626","M6H","Davenport"
"1627","M1M","Scarborough Southwest"
"1628","M5V","Spadina-Fort York"
"1629","M4C","Beaches-East York"
"1630","M5V","Spadina-Fort York"
"1631","M5V","Spadina-Fort York"
"1632","M5V","Spadina-Fort York"
"1633","M5V","Spadina-Fort York"
"1634","M5R","University-Rosedale"
"1635","M1R","Scarborough Centre"
"1636","M2N","Willowdale"
"1637","M3H","York Centre"
"1638","M6E","St.Paul's"
"1639","M9V","Etobicoke North"
"1640","M4S","St.Paul's"
"1641","M3M","York Centre"
"1642","M4C","Beaches-East York"
"1643","M6E","Davenport"
"1644","M4M","Toronto-Danforth"
"1645","M6L","York South-Weston"
"1646","M6K","Spadina-Fort York"
"1647","M6J","University-Rosedale"
"1648","M4M","Toronto-Danforth"
"1649","M5C","Toronto Centre"
"1650","M4M","Toronto-Danforth"
"1651","M6H","Davenport"
"1652","M5V","Spadina-Fort York"
"1653","M5V","Spadina-Fort York"
"1654","M5E","Spadina-Fort York"
"1655","M5V","Spadina-Fort York"
"1656","M5V","Spadina-Fort York"
"1657","M5V","Spadina-Fort York"
"1658","M1N","Scarborough Southwest"
"1659","M6K","Spadina-Fort York"
"1660","M6J","Davenport"
"1661","M1M","Scarborough Southwest"
"1662","M5V","Spadina-Fort York"
"1663","M5V","Spadina-Fort York"
"1664","M4Y","Toronto Centre"
"1665","M6L","York South-Weston"
"1666","M6H","Davenport"
"1667","M4G","Don Valley West"
"1668","M6K","Parkdale-High Park"
"1669","M5B","Toronto Centre"
"1670","M5V","Spadina-Fort York"
"1671","M6P","Parkdale-High Park"
"1672","M9P","Etobicoke Centre"
"1673","M3C","Don Valley East"
"1674","M6J","Spadina-Fort York"
"1675","M1K","Scarborough Centre"
"1676","M4L","Beaches-East York"
"1677","M4L","Toronto-Danforth"
"1678","M5V","Spadina-Fort York"
"1679","M5J","Spadina-Fort York"
"1680","M4P","St.Paul's"
"1681","M6P","Parkdale-High Park"
"1682","M6G","Davenport"
"1683","M5V","Spadina-Fort York"
"1684","M9V","Etobicoke North"
"1685","M5S","Toronto Centre"
"1686","M5G","University-Rosedale"
"1687","M1W","Scarborough-Agincourt"
"1688","M8V","Etobicoke-Lakeshore"
"1689","M5V","Spadina-Fort York"
"1690","M5J","Spadina-Fort York"
"1691","M6K","Spadina-Fort York"
"1692","M5V","Spadina-Fort York"
"1693","M6K","Spadina-Fort York"
"1694","M5A","Toronto Centre"
"1695","M5B","Toronto Centre"
"1696","M2H","Don Valley North"
"1697","M4C","Toronto-Danforth"
"1698","M5H","Spadina-Fort York"
"1699","M5V","Spadina-Fort York"
"1700","M6C","St.Paul's"
"1701","M5S","Toronto Centre"
"1702","M2R","Willowdale"
"1703","M6N","Davenport"
"1704","M5V","Spadina-Fort York"
"1705","M9R","Etobicoke North"
"1706","M5V","Spadina-Fort York"
"1707","M5V","Spadina-Fort York"
"1708","M4R","Eglinton-Lawrence"
"1709","M9W","Etobicoke North"
"1710","M5A","Spadina-Fort York"
"1711","M1R","Scarborough Centre"
"1712","M1L","Scarborough Southwest"
"1713","M4C","Beaches-East York"
"1714","M2H","Don Valley North"
"1715","M5J","Spadina-Fort York"
"1716","M4C","Beaches-East York"
"1717","M4W","University-Rosedale"
"1718","M8V","Etobicoke-Lakeshore"
"1719","M2K","Don Valley North"
"1720","M6S","Parkdale-High Park"
"1721","M3L","Humber River-Black Creek"
"1722","M6B","Eglinton-Lawrence"
"1723","M5V","Spadina-Fort York"
"1724","M5J","Spadina-Fort York"
"1725","M5A","Spadina-Fort York"
"1726","M6K","Spadina-Fort York"
"1727","M6H","Davenport"
"1728","M8V","Etobicoke-Lakeshore"
"1729","M8V","Etobicoke-Lakeshore"
"1730","M1T","Scarborough-Agincourt"
"1731","M9W","Etobicoke North"
"1732","M5V","Spadina-Fort York"
"1733","M9W","Etobicoke North"
"1734","M5V","Spadina-Fort York"
"1735","M5V","Spadina-Fort York"
"1736","M8W","Etobicoke-Lakeshore"
"1737","M4C","Beaches-East York"
"1738","M5B","Toronto Centre"
"1739","M6J","Spadina-Fort York"
"1740","M1M","Scarborough Southwest"
"1741","M1C","Scarborough-Rouge Park"
"1742","M5S","Toronto Centre"
"1743","M2M","Willowdale"
"1744","M5V","Spadina-Fort York"
"1745","M5V","Spadina-Fort York"
"1746","M4E","Beaches-East York"
"1747","M6K","Spadina-Fort York"
"1748","M2M","Willowdale"
"1749","M5V","Spadina-Fort York"
"1750","M6G","St.Paul's"
"1751","M9C","Etobicoke Centre"
"1752","M9B","Etobicoke Centre"
"1753","M5V","Spadina-Fort York"
"1754","M5S","University-Rosedale"
"1755","M4L","Beaches-East York"
"1756","M6N","York South-Weston"
"1757","M9V","Etobicoke North"
"1758","M3H","York Centre"
"1759","M5J","Spadina-Fort York"
"1760","M4V","St.Paul's"
"1761","M5J","Spadina-Fort York"
"1762","M6K","Spadina-Fort York"
"1763","M5J","Spadina-Fort York"
"1764","M5B","Toronto Centre"
"1765","M9R","Etobicoke North"
"1766","M2L","Don Valley West"
"1767","M4S","St.Paul's"
"1768","M8Y","Etobicoke-Lakeshore"
"1769","M4Y","Toronto Centre"
"1770","M4J","Toronto-Danforth"
"1771","M5T","Spadina-Fort York"
"1772","M4S","St.Paul's"
"1773","M6H","Davenport"
"1774","M1S","Scarborough North"
"1775","M2H","Don Valley North"
"1776","M4K","Toronto-Danforth"
"1777","M5V","Spadina-Fort York"
"1778","M3M","York Centre"
"1779","M6G","St.Paul's"
"1780","M5R","University-Rosedale"
"1781","M5R","University-Rosedale"
"1782","M2J","Don Valley North"
"1783","M5V","Spadina-Fort York"
"1784","M5B","Toronto Centre"
"1785","M4X","Toronto Centre"
"1786","M2M","Willowdale"
"1787","M9L","Humber River-Black Creek"
"1788","M5B","Toronto Centre"
"1789","M5A","Toronto Centre"
"1790","M6J","Spadina-Fort York"
"1791","M5V","Spadina-Fort York"
"1792","M6B","Eglinton-Lawrence"
"1793","M2P","Don Valley West"
"1794","M5R","University-Rosedale"
"1795","M5V","Spadina-Fort York"
"1796","M6E","Davenport"
"1797","M5V","Spadina-Fort York"
"1798","M5T","Spadina-Fort York"
"1799","M1B","Scarborough-Rouge Park"
"1800","M5V","Spadina-Fort York"
"1801","M4N","Don Valley West"
"1802","M6R","Parkdale-High Park"
"1803","M9V","Etobicoke North"
"1804","M6S","Parkdale-High Park"
"1805","M5J","Spadina-Fort York"
"1806","M2R","York Centre"
"1807","M4Y","University-Rosedale"
"1808","M2N","Willowdale"
"1809","M4Y","University-Rosedale"
"1810","M2N","Willowdale"
"1811","M3A","Don Valley East"
"1812","M5V","Spadina-Fort York"
"1813","M6G","University-Rosedale"
"1814","M9M","Humber River-Black Creek"
"1815","M5V","Spadina-Fort York"
"1816","M5V","Spadina-Fort York"
"1817","M5V","Spadina-Fort York"
"1818","M6N","Davenport"
"1819","M6P","Davenport"
"1820","M4Y","Toronto Centre"
"1821","M6K","Spadina-Fort York"
"1822","M4E","Beaches-East York"
"1823","M5C","Toronto Centre"
"1824","M8Z","Etobicoke-Lakeshore"
"1825","M5J","Spadina-Fort York"
"1826","M5C","Toronto Centre"
"1827","M4X","Toronto Centre"
"1828","M5J","Spadina-Fort York"
"1829","M6H","Davenport"
"1830","M6K","Spadina-Fort York"
"1831","M5J","Spadina-Fort York"
"1832","M6M","York South-Weston"
"1833","M6A","Eglinton-Lawrence"
"1834","M5V","Spadina-Fort York"
"1835","M1S","Scarborough-Agincourt"
"1836","M1W","Scarborough-Agincourt"
"1837","M5S","Toronto Centre"
"1838","M4A","Don Valley East"
"1839","M2R","Willowdale"
"1840","M5V","Spadina-Fort York"
"1841","M6H","Davenport"
"1842","M6N","Davenport"
"1843","M2M","Willowdale"
"1844","M5P","St.Paul's"
"1845","M6G","St.Paul's"
"1846","M5J","Spadina-Fort York"
"1847","M5V","Spadina-Fort York"
"1848","M4P","St.Paul's"
"1849","M6K","Spadina-Fort York"
"1850","M4J","Toronto-Danforth"
"1851","M5V","Spadina-Fort York"
"1852","M4K","Toronto-Danforth"
"1853","M3C","Don Valley East"
"1854","M5V","Spadina-Fort York"
"1855","M3A","Don Valley East"
"1856","M5J","Spadina-Fort York"
"1857","M5J","Spadina-Fort York"
"1858","M2M","Willowdale"
"1859","M2J","Don Valley North"
"1860","M5V","Spadina-Fort York"
"1861","M5P","St.Paul's"
"1862","M4C","Beaches-East York"
"1863","M5A","Toronto Centre"
"1864","M5E","Spadina-Fort York"
"1865","M4L","Beaches-East York"
"1866","M1T","Scarborough-Agincourt"
"1867","M2J","Don Valley North"
"1868","M5V","Spadina-Fort York"
"1869","M5V","Spadina-Fort York"
"1870","M1C","Scarborough-Rouge Park"
"1871","M4M","Toronto-Danforth"
"1872","M4Y","Toronto Centre"
"1873","M4C","Beaches-East York"
"1874","M2P","Don Valley West"
"1875","M2N","Willowdale"
"1876","M1L","Scarborough Southwest"
"1877","M4M","Toronto-Danforth"
"1878","M8V","Etobicoke-Lakeshore"
"1879","M4K","Toronto-Danforth"
"1880","M6E","Davenport"
"1881","M2N","Willowdale"
"1882","M2K","Don Valley North"
"1883","M5V","Spadina-Fort York"
"1884","M5V","Spadina-Fort York"
"1885","M5V","Spadina-Fort York"
"1886","M3L","Humber River-Black Creek"
"1887","M8Z","Etobicoke-Lakeshore"
"1888","M1M","Scarborough-Guildwood"
"1889","M8Z","Etobicoke-Lakeshore"
"1890","M4L","Toronto-Danforth"
"1891","M2N","Willowdale"
"1892","M5V","Spadina-Fort York"
"1893","M6P","Parkdale-High Park"
"1894","M2R","York Centre"
"1895","M5V","Spadina-Fort York"
"1896","M5J","Spadina-Fort York"
"1897","M6K","Parkdale-High Park"
"1898","M1J","Scarborough Centre"
"1899","M2N","Willowdale"
"1900","M2J","Don Valley North"
"1901","M4W","University-Rosedale"
"1902","M5V","Spadina-Fort York"
"1903","M1G","Scarborough-Guildwood"
"1904","M5V","Spadina-Fort York"
"1905","M5V","Spadina-Fort York"
"1906","M5S","Toronto Centre"
"1907","M2N","Willowdale"
"1908","M2N","Willowdale"
"1909","M2R","Willowdale"
"1910","M6H","Davenport"
"1911","M5T","University-Rosedale"
"1912","M6P","Davenport"
"1913","M4M","Toronto-Danforth"
"1914","M5V","Spadina-Fort York"
"1915","M4E","Beaches-East York"
"1916","M3H","York Centre"
"1917","M6K","Spadina-Fort York"
"1918","M6K","Davenport"
"1919","M2H","Don Valley North"
"1920","M5A","Toronto Centre"
"1921","M3H","York Centre"
"1922","M4R","Eglinton-Lawrence"
"1923","M8V","Etobicoke-Lakeshore"
"1924","M5J","Spadina-Fort York"
"1925","M8W","Etobicoke-Lakeshore"
"1926","M6H","Davenport"
"1927","M5V","Spadina-Fort York"
"1928","M5V","Spadina-Fort York"
"1929","M5V","Spadina-Fort York"
"1930","M5V","Spadina-Fort York"
"1931","M5G","University-Rosedale"
"1932","M1K","Scarborough Southwest"
"1933","M6N","York South-Weston"
"1934","M3M","York Centre"
"1935","M5V","Spadina-Fort York"
"1936","M6S","Parkdale-High Park"
"1937","M5V","Spadina-Fort York"
"1938","M5V","Spadina-Fort York"
"1939","M6J","Spadina-Fort York"
"1940","M8V","Etobicoke-Lakeshore"
"1941","M2H","Don Valley North"
"1942","M4Y","Toronto Centre"
"1943","M5V","Spadina-Fort York"
"1944","M4B","Beaches-East York"
"1945","M1N","Scarborough Southwest"
"1946","M6A","Eglinton-Lawrence"
"1947","M1M","Scarborough Southwest"
"1948","M6E","Eglinton-Lawrence"
"1949","M5R","University-Rosedale"
"1950","M5V","Spadina-Fort York"
"1951","M5V","Spadina-Fort York"
"1952","M1T","Scarborough-Agincourt"
"1953","M5J","Spadina-Fort York"
"1954","M6H","Davenport"
"1955","M5V","Spadina-Fort York"
"1956","M5V","Spadina-Fort York"
"1957","M8V","Etobicoke-Lakeshore"
"1958","M6N","York South-Weston"
"1959","M1H","Scarborough-Guildwood"
"1960","M5V","Spadina-Fort York"
"1961","M5V","Spadina-Fort York"
"1962","M1B","Scarborough North"
"1963","M4J","Toronto-Danforth"
"1964","M2K","Don Valley North"
"1965","M4L","Beaches-East York"
"1966","M6K","Spadina-Fort York"
"1967","M5B","University-Rosedale"
"1968","M4C","Beaches-East York"
"1969","M2R","Willowdale"
"1970","M4Y","Toronto Centre"
"1971","M6J","Spadina-Fort York"
"1972","M9W","Etobicoke North"
"1973","M9P","Etobicoke Centre"
"1974","M2N","Willowdale"
"1975","M9B","Etobicoke Centre"
"1976","M5V","Spadina-Fort York"
"1977","M6S","Parkdale-High Park"
"1978","M5B","Toronto Centre"
"1979","M4X","Toronto Centre"
"1980","M1E","Scarborough-Guildwood"
"1981","M2R","Willowdale"
"1982","M4S","St.Paul's"
"1983","M3H","York Centre"
"1984","M4Y","Toronto Centre"
"1985","M1K","Scarborough Southwest"
"1986","M2M","Willowdale"
"1987","M1E","Scarborough-Guildwood"
"1988","M6N","York South-Weston"
"1989","M2K","Don Valley North"
"1990","M5V","Spadina-Fort York"
"1991","M5V","Spadina-Fort York"
"1992","M1M","Scarborough Southwest"
"1993","M6E","Davenport"
"1994","M9L","Humber River-Black Creek"
"1995","M4S","St.Paul's"
"1996","M5S","Toronto Centre"
"1997","M2N","Willowdale"
"1998","M1S","Scarborough North"
"1999","M1W","Scarborough-Agincourt"
"2000","M5A","Spadina-Fort York"
"2001","M5V","Spadina-Fort York"
"2002","M4L","Toronto-Danforth"
"2003","M1B","Scarborough North"
"2004","M5V","Spadina-Fort York"
"2005","M4Y","Toronto Centre"
"2006","M5B","Toronto Centre"
"2007","M5B","Toronto Centre"
"2008","M2N","Willowdale"
"2009","M5S","Toronto Centre"
"2010","M4M","Toronto-Danforth"
"2011","M6P","Parkdale-High Park"
"2012","M5J","Spadina-Fort York"
"2013","M4B","Beaches-East York"
"2014","M6H","Davenport"
"2015","M1S","Scarborough-Agincourt"
"2016","M5J","Spadina-Fort York"
"2017","M9M","Humber River-Black Creek"
"2018","M5A","Toronto Centre"
"2019","M3B","Don Valley West"
"2020","M6J","Davenport"
"2021","M1J","Scarborough Centre"
"2022","M9P","Etobicoke Centre"
"2023","M5A","Toronto Centre"
"2024","M5V","Spadina-Fort York"
"2025","M6K","Spadina-Fort York"
"2026","M3J","York Centre"
"2027","M8X","Etobicoke Centre"
"2028","M2J","Don Valley North"
"2029","M4Y","Toronto Centre"
"2030","M6M","York South-Weston"
"2031","M1K","Scarborough Southwest"
"2032","M4V","St.Paul's"
"2033","M6R","Parkdale-High Park"
"2034","M8V","Etobicoke-Lakeshore"
"2035","M5R","University-Rosedale"
"2036","M8Z","Etobicoke-Lakeshore"
"2037","M6S","Parkdale-High Park"
"2038","M3B","Don Valley West"
"2039","M2N","Willowdale"
"2040","M5J","Spadina-Fort York"
"2041","M8Z","Etobicoke-Lakeshore"
"2042","M6P","Parkdale-High Park"
"2043","M5S","University-Rosedale"
"2044","M1R","Scarborough Centre"
"2045","M1T","Scarborough-Agincourt"
"2046","M2K","Don Valley North"
"2047","M6P","Davenport"
"2048","M5A","Toronto Centre"
"2049","M1N","Scarborough Southwest"
"2050","M5V","Spadina-Fort York"
"2051","M3A","Don Valley East"
"2052","M8W","Etobicoke-Lakeshore"
"2053","M8Y","Etobicoke-Lakeshore"
"2054","M4E","Beaches-East York"
"2055","M6N","York South-Weston"
"2056","M2J","Don Valley North"
"2057","M5S","University-Rosedale"
"2058","M9B","Etobicoke Centre"
"2059","M5V","Spadina-Fort York"
"2060","M1E","Scarborough-Rouge Park"
"2061","M5V","Spadina-Fort York"
"2062","M6N","York South-Weston"
"2063","M5V","Spadina-Fort York"
"2064","M4L","Beaches-East York"
"2065","M6H","Davenport"
"2066","M5J","Spadina-Fort York"
"2067","M5V","Spadina-Fort York"
"2068","M6G","University-Rosedale"
"2069","M4M","Toronto-Danforth"
"2070","M5J","Spadina-Fort York"
"2071","M9B","Etobicoke-Lakeshore"
"2072","M6E","St.Paul's"
"2073","M5V","Spadina-Fort York"
"2074","M6S","Parkdale-High Park"
"2075","M1B","Scarborough-Rouge Park"
"2076","M6J","Davenport"
"2077","M6K","Davenport"
"2078","M5J","Spadina-Fort York"
"2079","M4C","Beaches-East York"
"2080","M6R","Parkdale-High Park"
"2081","M1J","Scarborough Centre"
"2082","M5V","Spadina-Fort York"
"2083","M6K","Spadina-Fort York"
"2084","M9C","Etobicoke Centre"
"2085","M5V","Spadina-Fort York"
"2086","M6S","Parkdale-High Park"
"2087","M3N","Humber River-Black Creek"
"2088","M6K","Spadina-Fort York"
"2089","M9R","Etobicoke North"
"2090","M1N","Scarborough Southwest"
"2091","M6K","Davenport"
"2092","M9C","Etobicoke Centre"
"2093","M6B","Eglinton-Lawrence"
"2094","M5A","Toronto Centre"
"2095","M2J","Don Valley North"
"2096","M6K","Spadina-Fort York"
"2097","M6P","Parkdale-High Park"
"2098","M4V","St.Paul's"
"2099","M5V","Spadina-Fort York"
"2100","M4W","University-Rosedale"
"2101","M9C","Etobicoke Centre"
"2102","M5V","Spadina-Fort York"
"2103","M5V","Spadina-Fort York"
"2104","M6M","York South-Weston"
"2105","M6E","Davenport"
"2106","M2M","Willowdale"
"2107","M5S","Toronto Centre"
"2108","M5V","Spadina-Fort York"
"2109","M4P","St.Paul's"
"2110","M1C","Scarborough-Rouge Park"
"2111","M8Y","Etobicoke-Lakeshore"
"2112","M5V","Spadina-Fort York"
"2113","M4K","Toronto-Danforth"
"2114","M6G","University-Rosedale"
"2115","M6K","Davenport"
"2116","M2N","Willowdale"
"2117","M8V","Etobicoke-Lakeshore"
"2118","M6P","Davenport"
"2119","M5V","Spadina-Fort York"
"2120","M1E","Scarborough-Rouge Park"
"2121","M6A","Eglinton-Lawrence"
"2122","M4K","Toronto-Danforth"
"2123","M1B","Scarborough-Rouge Park"
"2124","M1K","Scarborough Centre"
"2125","M4P","Don Valley West"
"2126","M5M","Eglinton-Lawrence"
"2127","M6G","University-Rosedale"
"2128","M4Y","Toronto Centre"
"2129","M3J","Humber River-Black Creek"
"2130","M5B","Toronto Centre"
"2131","M5V","Spadina-Fort York"
"2132","M6N","York South-Weston"
"2133","M6E","Davenport"
"2134","M5V","Spadina-Fort York"
"2135","M5B","Toronto Centre"
"2136","M5M","Eglinton-Lawrence"
"2137","M6C","St.Paul's"
"2138","M6G","St.Paul's"
"2139","M1C","Scarborough-Rouge Park"
"2140","M6K","Spadina-Fort York"
"2141","M5A","Toronto Centre"
"2142","M1T","Scarborough-Agincourt"
"2143","M1T","Scarborough-Agincourt"
"2144","M5M","Eglinton-Lawrence"
"2145","M2H","Don Valley North"
"2146","M4C","Beaches-East York"
"2147","M5J","Spadina-Fort York"
"2148","M3H","York Centre"
"2149","M3H","York Centre"
"2150","M1J","Scarborough Centre"
"2151","M2R","Willowdale"
"2152","M6P","Parkdale-High Park"
"2153","M9N","York South-Weston"
"2154","M6M","York South-Weston"
"2155","M1S","Scarborough-Agincourt"
"2156","M4V","St.Paul's"
"2157","M2N","Willowdale"
"2158","M8Z","Etobicoke-Lakeshore"
"2159","M3J","York Centre"
"2160","M6A","Eglinton-Lawrence"
"2161","M4P","Don Valley West"
"2162","M6S","Parkdale-High Park"
"2163","M5V","Spadina-Fort York"
"2164","M4Y","Toronto Centre"
"2165","M3H","York Centre"
"2166","M5J","Spadina-Fort York"
"2167","M1C","Scarborough-Rouge Park"
"2168","M2M","Willowdale"
"2169","M9B","Etobicoke-Lakeshore"
"2170","M6G","University-Rosedale"
"2171","M9W","Etobicoke North"
"2172","M5A","Toronto Centre"
"2173","M5V","Spadina-Fort York"
"2174","M8V","Etobicoke-Lakeshore"
"2175","M8V","Etobicoke-Lakeshore"
"2176","M5V","Spadina-Fort York"
"2177","M4M","Toronto-Danforth"
"2178","M5V","Spadina-Fort York"
"2179","M4C","Beaches-East York"
"2180","M5V","Spadina-Fort York"
"2181","M2N","Willowdale"
"2182","M1N","Scarborough Southwest"
"2183","M5V","Spadina-Fort York"
"2184","M2N","Willowdale"
"2185","M1C","Scarborough-Rouge Park"
"2186","M5B","University-Rosedale"
"2187","M6C","Davenport"
"2188","M3A","Don Valley East"
"2189","M5V","Spadina-Fort York"
"2190","M5V","Spadina-Fort York"
"2191","M5V","Spadina-Fort York"
"2192","M5V","Spadina-Fort York"
"2193","M6J","Davenport"
"2194","M9A","Etobicoke Centre"
"2195","M8X","Etobicoke-Lakeshore"
"2196","M4Y","Toronto Centre"
"2197","M4M","Toronto-Danforth"
"2198","M6G","University-Rosedale"
"2199","M5J","Spadina-Fort York"
"2200","M9C","Etobicoke Centre"
"2201","M5S","Toronto Centre"
"2202","M6J","Spadina-Fort York"
"2203","M4E","Beaches-East York"
"2204","M4C","Beaches-East York"
"2205","M5V","Spadina-Fort York"
"2206","M4T","St.Paul's"
"2207","M4Y","Toronto Centre"
"2208","M6J","Spadina-Fort York"
"2209","M1V","Scarborough North"
"2210","M2K","Don Valley North"
"2211","M3H","York Centre"
"2212","M5V","Spadina-Fort York"
"2213","M4X","Toronto Centre"
"2214","M2R","Willowdale"
"2215","M5J","Spadina-Fort York"
"2216","M5V","Spadina-Fort York"
"2217","M6S","Parkdale-High Park"
"2218","M6S","Parkdale-High Park"
"2219","M4K","Toronto-Danforth"
"2220","M5E","Spadina-Fort York"
"2221","M5J","Spadina-Fort York"
"2222","M5V","Spadina-Fort York"
"2223","M5J","Spadina-Fort York"
"2224","M4C","Beaches-East York"
"2225","M9R","Etobicoke Centre"
"2226","M8V","Etobicoke-Lakeshore"
"2227","M2N","Willowdale"
"2228","M5V","Spadina-Fort York"
"2229","M5V","Spadina-Fort York"
"2230","M3K","York Centre"
"2231","M6G","St.Paul's"
"2232","M6S","Parkdale-High Park"
"2233","M4M","Toronto-Danforth"
"2234","M5V","Spadina-Fort York"
"2235","M4Y","University-Rosedale"
"2236","M3A","Don Valley East"
"2237","M1N","Scarborough Southwest"
"2238","M6K","Spadina-Fort York"
"2239","M3C","Don Valley East"
"2240","M5V","Spadina-Fort York"
"2241","M1S","Scarborough-Agincourt"
"2242","M5T","University-Rosedale"
"2243","M5N","Eglinton-Lawrence"
"2244","M2M","Willowdale"
"2245","M5V","Spadina-Fort York"
"2246","M3H","York Centre"
"2247","M9V","Etobicoke North"
"2248","M3N","Humber River-Black Creek"
"2249","M4M","Toronto-Danforth"
"2250","M2J","Don Valley North"
"2251","M6B","Eglinton-Lawrence"
"2252","M3H","York Centre"
"2253","M2J","Don Valley North"
"2254","M4K","Toronto-Danforth"
"2255","M9R","Etobicoke Centre"
"2256","M4S","Don Valley West"
"2257","M2N","Willowdale"
"2258","M4M","Toronto-Danforth"
"2259","M1W","Scarborough-Agincourt"
"2260","M6G","University-Rosedale"
"2261","M6K","Davenport"
"2262","M6H","Davenport"
"2263","M6J","Davenport"
"2264","M6M","York South-Weston"
"2265","M1J","Scarborough Centre"
"2266","M5V","Spadina-Fort York"
"2267","M6K","Spadina-Fort York"
"2268","M4E","Beaches-East York"
"2269","M5J","Spadina-Fort York"
"2270","M2J","Don Valley North"
"2271","M5J","Spadina-Fort York"
"2272","M1R","Scarborough Centre"
"2273","M8V","Etobicoke-Lakeshore"
"2274","M4L","Beaches-East York"
"2275","M9W","Etobicoke North"
"2276","M9V","Etobicoke North"
"2277","M3N","Humber River-Black Creek"
"2278","M6A","Eglinton-Lawrence"
"2279","M4C","Beaches-East York"
"2280","M3L","Humber River-Black Creek"
"2281","M2L","Don Valley West"
"2282","M6J","Davenport"
"2283","M9M","Humber River-Black Creek"
"2284","M6G","University-Rosedale"
"2285","M9R","Etobicoke North"
"2286","M5V","Spadina-Fort York"
"2287","M6N","Davenport"
"2288","M5V","Spadina-Fort York"
"2289","M6J","Davenport"
"2290","M4S","St.Paul's"
"2291","M5V","Spadina-Fort York"
"2292","M5J","Spadina-Fort York"
"2293","M4G","Don Valley West"
"2294","M6K","Spadina-Fort York"
"2295","M6J","Davenport"
"2296","M5V","Spadina-Fort York"
"2297","M5V","Spadina-Fort York"
"2298","M5A","Spadina-Fort York"
"2299","M4Y","Toronto Centre"
"2300","M6K","Parkdale-High Park"
"2301","M6P","Davenport"
"2302","M6G","University-Rosedale"
"2303","M4J","Toronto-Danforth"
"2304","M6H","Davenport"
"2305","M5A","Toronto Centre"
"2306","M6H","Davenport"
"2307","M5T","Spadina-Fort York"
"2308","M8Y","Etobicoke-Lakeshore"
"2309","M1H","Scarborough-Guildwood"
"2310","M8Y","Etobicoke-Lakeshore"
"2311","M5E","Toronto Centre"
"2312","M1R","Scarborough Centre"
"2313","M9C","Etobicoke Centre"
"2314","M9C","Etobicoke Centre"
"2315","M5T","University-Rosedale"
"2316","M9W","Etobicoke North"
"2317","M4C","Beaches-East York"
"2318","M6P","Davenport"
"2319","M4J","Toronto-Danforth"
